cartodb_id,from_iso,from_x,from_y,quantity,to_iso,to_x,to_y,created_at,updated_at,the_geom
5524,GB,-1.428851,52.576441,105,IT,12.646361,42.504154,2012/04/22  0:16:18,2012/04/22  0:16:18,
5525,VN,108.339537,14.315424,143,KR,128.168944,36.536236,2012/04/22  0:16:18,2012/04/22  0:16:18,
5526,RW,29.917652,-1.865506,6,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5527,GB,-1.428851,52.576441,1,TG,1.042553,8.766221,2012/04/22  0:16:18,2012/04/22  0:16:18,
5528,KI,-157.37102,1.838936,3,AU,134.489563,-25.734968,2012/04/22  0:16:18,2012/04/22  0:16:18,
5529,ZW,29.938669,-19.189459,1005,FR,2.618787,47.824905,2012/04/22  0:16:18,2012/04/22  0:16:18,
5530,BG,25.231507,42.761377,2,ZA,23.913711,-28.378272,2012/04/22  0:16:18,2012/04/22  0:16:18,
5531,SA,44.548171,24.131342,275,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5532,SY,38.505592,35.013048,1,NO,8.804821,61.248333,2012/04/22  0:16:18,2012/04/22  0:16:18,
5533,PY,-58.391024,-23.236211,22,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5534,GN,-11.029862,10.785546,2,GM,-15.912854,13.444526,2012/04/22  0:16:18,2012/04/22  0:16:18,
5535,FI,26.199539,62.777754,2,SG,103.808053,1.351616,2012/04/22  0:16:18,2012/04/22  0:16:18,
5536,GT,-90.390002,15.605589,2,CL,-72.209377,-37.721037,2012/04/22  0:16:18,2012/04/22  0:16:18,
5537,NG,8.105306,9.59396,2,JP,138.59223,36.386493,2012/04/22  0:16:18,2012/04/22  0:16:18,
5538,LC,-60.968712,13.897869,6,NZ,171.7799,-41.838875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5539,IL,34.865459,31.086887,5,AU,134.489563,-25.734968,2012/04/22  0:16:18,2012/04/22  0:16:18,
5540,KR,128.168944,36.536236,636,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
5541,HT,-72.434515,19.182436,1,DK,10.046297,55.963398,2012/04/22  0:16:18,2012/04/22  0:16:18,
5542,CO,-73.073215,3.900749,892,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5543,CA,-105.75059,55.585901,7,MO,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5544,NL,5.580444,52.274688,26,DD,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5545,UG,32.386218,1.279964,95,HK,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5546,LK,80.704727,7.608085,317,JP,138.59223,36.386493,2012/04/22  0:16:18,2012/04/22  0:16:18,
5547,NI,-85.034783,12.839905,31,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5548,JP,138.59223,36.386493,1008,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
5549,AU,134.489563,-25.734968,20,CZ,15.338412,49.742859,2012/04/22  0:16:18,2012/04/22  0:16:18,
5550,EE,25.761527,58.778397,4,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
5551,SY,38.505592,35.013048,1,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5552,KW,47.590604,29.341212,6,DE,10.018343,51.133481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5553,CF,20.482826,6.571341,1,IE,-7.737649,53.305494,2012/04/22  0:16:18,2012/04/22  0:16:18,
5554,MG,46.705984,-19.373534,1,TN,9.561168,34.110704,2012/04/22  0:16:18,2012/04/22  0:16:18,
5555,PT,-8.562731,39.600995,39,BR,-51.619789,-9.588903,2012/04/22  0:16:18,2012/04/22  0:16:18,
5556,AE,54.256172,23.85206,1,KR,128.168944,36.536236,2012/04/22  0:16:18,2012/04/22  0:16:18,
5557,GW,-14.963483,12.031701,3,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
5558,TT,-61.253176,10.468643,3,AT,14.300144,47.607798,2012/04/22  0:16:18,2012/04/22  0:16:18,
5559,SO,47.325853,5.786396,14,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5560,AT,14.300144,47.607798,68,IT,12.646361,42.504154,2012/04/22  0:16:18,2012/04/22  0:16:18,
5561,MG,46.705984,-19.373534,768,BE,4.663989,50.642851,2012/04/22  0:16:18,2012/04/22  0:16:18,
5562,IN,79.280398,22.759652,2,SU,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5563,CO,-73.073215,3.900749,1004,MX,-102.53286,23.950464,2012/04/22  0:16:18,2012/04/22  0:16:18,
5564,IT,12.646361,42.504154,1084,DE,10.018343,51.133481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5565,MY,108.713972,3.198685,1,CR,-84.188213,9.970197,2012/04/22  0:16:18,2012/04/22  0:16:18,
5566,MY,108.713972,3.198685,118,PT,-8.562731,39.600995,2012/04/22  0:16:18,2012/04/22  0:16:18,
5567,CL,-72.209377,-37.721037,2151,US,-97.922211,39.381266,2012/04/22  0:16:18,2012/04/22  0:16:18,
5568,LR,-9.307914,6.448092,1,AT,14.300144,47.607798,2012/04/22  0:16:18,2012/04/22  0:16:18,
5569,HK,,,2,ID,117.369878,-2.279866,2012/04/22  0:16:18,2012/04/22  0:16:18,
5570,ET,39.616032,8.62622,1,CZ,15.338412,49.742859,2012/04/22  0:16:18,2012/04/22  0:16:18,
5571,KE,37.857882,0.529862,13,CN,101.901875,35.486703,2012/04/22  0:16:18,2012/04/22  0:16:18,
5572,HU,19.499349,47.060267,1,LT,23.931538,55.487413,2012/04/22  0:16:18,2012/04/22  0:16:18,
5573,UY,-56.012396,-32.799646,372,US,-97.922211,39.381266,2012/04/22  0:16:18,2012/04/22  0:16:18,
5574,MA,-6.017073,32.350751,15,AT,14.300144,47.607798,2012/04/22  0:16:18,2012/04/22  0:16:18,
5575,CF,20.482826,6.571341,66,BE,4.663989,50.642851,2012/04/22  0:16:18,2012/04/22  0:16:18,
5576,GN,-11.029862,10.785546,1675,BE,4.663989,50.642851,2012/04/22  0:16:18,2012/04/22  0:16:18,
5577,SZ,31.497529,-26.562642,3,JP,138.59223,36.386493,2012/04/22  0:16:18,2012/04/22  0:16:18,
5578,GY,-58.974781,5.623823,441,ZA,23.913711,-28.378272,2012/04/22  0:16:18,2012/04/22  0:16:18,
5579,LV,24.862593,56.959065,4,SE,17.675409,64.964875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5580,TZ,34.823454,-6.270353,653,IT,12.646361,42.504154,2012/04/22  0:16:18,2012/04/22  0:16:18,
5581,IN,79.280398,22.759652,48,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5582,GD,-61.679377,12.112926,16,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5583,MU,57.870755,-20.251868,1,GR,23.828554,38.589021,2012/04/22  0:16:18,2012/04/22  0:16:18,
5584,UY,-56.012396,-32.799646,8,PT,-8.562731,39.600995,2012/04/22  0:16:18,2012/04/22  0:16:18,
5585,LV,24.862593,56.959065,3,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5586,TN,9.561168,34.110704,8,DZ,2.632388,28.16324,2012/04/22  0:16:18,2012/04/22  0:16:18,
5587,BE,4.663989,50.642851,210,HK,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
